,Africa Eltis,Africa Richardson,Africa spliced,America Galenson,America Eltis et al,America spliced,Markup
1761,,8.6,8.6,,28.4159782608696,28.4159782608696,3.30418351870576
1762,,7.2,7.2,,34.0647640966628,34.0647640966628,4.73121723564762
1763,,9.6,9.6,,36.4993808312129,36.4993808312129,3.80201883658468
1764,,9.4,9.4,,33.9800303336704,33.9800303336704,3.61489684400749
1765,,9.8,9.8,,35.3003647416413,35.3003647416413,3.60207803486136
1766,,11.4,11.4,,40.7667641060503,40.7667641060503,3.57603193912722
1767,,11.6,11.6,,35.981270718232,35.981270718232,3.10183368260621
1768,,13.5,13.5,,38.331916495551,38.331916495551,2.83940122189267
1769,,13.6,13.6,,42.9503009404389,42.9503009404389,3.15811036326756
1770,,11.3,11.3,,41.3149560632689,41.3149560632689,3.65619080205919
1771,,12.4,12.4,,40.6008481948673,40.6008481948673,3.27426195119898
1772,,16.5,16.5,,39.5273729895328,39.5273729895328,2.39559836300199
1773,,13.6,13.6,,46.7107389749702,46.7107389749702,3.43461315992428
1774,,17,17,,46.8408728710462,46.8408728710462,2.75534546300272
1775,,16.9,16.9,,48.0242043026072,48.0242043026072,2.8416688936454
1776,,13.7,13.7,,40.8387111190561,40.8387111190561,2.98092781890921
1777,,15.1,15.1,,34.7105611940299,34.7105611940299,2.29871266185628
1778,,6.6,6.6,,45.5867472627737,45.5867472627737,6.90708291860208
1779,,16.8,16.8,,31.721897689769,31.721897689769,1.88820819581958
1780,,10.2,10.2,,40.4039969834088,40.4039969834088,3.961176174844
1781,,13.4,13.4,,37.6881494661922,37.6881494661922,2.81254846762628
1782,,14.2,14.2,,39.3,39.3,2.76760563380282
1783,,18.1,18.1,,45.9559047619048,45.9559047619048,2.53900026308866
1784,,12,12,,48.2820902612827,48.2820902612827,4.02350752177355
1785,,14.6,14.6,,64.2250831688751,64.2250831688751,4.39897829923802
1786,,17.3,17.3,,62.725944092827,62.725944092827,3.62577711519231
1787,,15.9,15.9,,59.190772073922,59.190772073922,3.72269006754226
1788,,18.5,18.5,,56.4060655307995,56.4060655307995,3.04897651517835
1789,,18.9,18.9,,58.2640105898288,58.2640105898288,3.08275188305973
1790,,22.4,22.4,,60.3319022651007,60.3319022651007,2.69338849397771
1791,,17.5,17.5,,59.6419482021043,59.6419482021043,3.40811132583453
1792,,20,20,,62.7479114642452,62.7479114642452,3.13739557321226
1793,,12.3,12.3,,56.5627058823529,56.5627058823529,4.59859397417504
1794,,15.7,15.7,,50.8028971962617,50.8028971962617,3.23585332460265
1795,,15.5,15.5,,50.88298791019,50.88298791019,3.28277341356064
1796,,23.2,23.2,,58.51,58.51,2.52198275862069
1797,,23.5,23.5,,69.5173629782834,69.5173629782834,2.95818565865035
1798,,20.9,20.9,,75.2627857142857,75.2627857142857,3.60109022556391
1799,,28.7,28.7,,78.3724753559693,78.3724753559693,2.73074827024283
1800,,33.2,33.2,,80.67,80.67,2.42981927710843
1801,,27.5,27.5,,,,
1802,,26.2,26.2,,85.47,85.47,3.26221374045802
1803,,31,31,,66.9,66.9,2.15806451612903
1804,,29.8,29.8,,73.422268907563,73.422268907563,2.46383452709943
1805,,34.7,34.7,,77.7884217252396,77.7884217252396,2.24174126009336
1806,,41.1,41.1,,79.5115529672768,79.5115529672768,1.93458766343739
1807,,29.3,29.3,,84.0588743645606,84.0588743645606,2.8689035619304
