Line_number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
1,????,Return,Not specified,117480.68,,,,1785-09-01,Return,Livres tournois,Noté GD060 mais ne correspond pas
2,????,Return,Not specified,43344.79,,,,1786-02-27,Return,Livres tournois,Noté GD060 mais ne correspond pas
3,????,Return,Not specified,14379.84,,,,1786-05-01,Return,Livres tournois,Noté GD060 mais ne correspond pas
4,????,Return,Not specified,19448.75,,,,1786-05-15,Return,Livres tournois,Noté GD060 mais ne correspond pas
5,????,Return,Not specified,9129.45,,,,1786-09-01,Return,Livres tournois,Noté GD060 mais ne correspond pas
6,????,Return,Not specified,12915.48,,,,1788-08-01,Return,Livres tournois,Noté GD060 mais ne correspond pas
7,????,Return,Not specified,7436.76,,,,1789-03-12,Return,Livres tournois,Noté GD060 mais ne correspond pas
8,????,Return,Not specified,1834.00,,,,1789-09-01,Return,Livres tournois,Noté GD060 mais ne correspond pas
9,????,Return,Not specified,2515.01,,,,1791-09-30,Return,Livres tournois,Noté GD060 mais ne correspond pas
